Key,Czech
display_event.unhappy_lord,Tvůj lord je nespokojený
display_event.actor_dont_work,{name} kvůli špatné náladě odmítá plnit tvé úkoly
display_event.reg_riot_soon,Fanatici volají po krvi: {target_name}!
display_event.reg_riot_cancel,Fanatici jsou spokojení s popravou osoby {target_name}. K žádnému povstání nedojde.
display_event.holy_family_become_enemy,Matriarcha už ti není nakloněna!
display_event.reg_riot_against_king,"Fanatici věří, že {target_name} musí zemřít"
display_event.reg_riot_in_hour,Povstání začne za pár hodin!
display_event.low_loyaled,Lord odchází z provincie
display_event.bulglary_storage,Pobudové vykradli skladiště v síni
display_event.hall_robbed,Pobudové se vloupali do síně a ukradli zlato
display_event.library_robbed,Pobudové se vloupali do knihovny a ukradli knihy
display_event.lord_kidnapped,Pobudové unesli tvého lorda!
display_event.lord_killed,Podplacení hrdlořezové zabili tvého lorda!
display_event.army_returned_from_global_map,Četa se vrátila
display_event.hirde_bandits_returned_from_global_map,Najatí hrdlořezové se vrátili s kořistí
display_event.kid_now_can_read,{name} dospívá a stává se náctiletým.
display_event.bishop_arrived,Do tvé osady dorazil biskup
display_event.bishop_leave_province,Biskup odchází z tvé osady
display_event.faction_become_enemy,Frakce {faction_name} se stala naším nepřítelem
display_event.faction_soon_become_enemy,Frakce {faction_name} se brzo stane naším nepřítelem
display_event.economy_statistics,Ekonomické hlášení
display_event.dayly_statistic,Denní statistiky
display_event.daily_stat_main_pronlems,Časté negativní myšlenky:
display_event.daily_stat_no_problems,Žádné problémy
display_event.world_summary,Shrnutí světa
display_event.world_summary_trade,Obchod
display_event.world_summary_marriage,Manželství
display_event.world_summary_other,Ostatní
display_event.world_summary_politic,Zásada
display_event.religious_rebellion_start,Začala náboženská vzpoura!
display_event.slaves_rebellion,Začala vězeňská vzpoura!
display_event.soldier_rebellion,Válečníci zahájili vzpouru!
display_event.loyalist_rage,Loajalisté rozpoutávají masakr!
display_event.loyalist_rage_over,Loajalisté ukončili masakr.
display_event.soldier_rebellion_finished,Vzpoura válečníků skončila.
display_event.soldier_rebellion_crushed,Vzpoura válečníků byla s úspěchem potlačena!
display_event.religion_rebellion_crushed,Náboženské povstání bylo s úspěchem potlačeno!
display_event.religion_rebellion_finished,Náboženské povstání skončilo.
display_event.slaves_rebellion_finished,Vzpoura vězňů skončila.
display_event.slaves_rebellion_crushed,Vzpoura vězňů byla s úspěchem potlačena!
display_event.culture_rage_today,{name}: nejspíš rozpoutají vzpouru proti kultuře {name_2}.
display_event.culture_rage,{name}: Začínají vzpouru.
display_event.culture_rage_over,Vzpoura skončila.
display_event.no_new_events,Žádné události.
display_event.player_became_vassal,Stáváš se vazalem frakce {sir_faction}.
display_event.player_stopped_being_vassal,Už nejsi vazalem frakce {ex_sir_faction}.
display_event.enemy_go_to_attack_town_soon,"Zdá se, že {faction} hodlá zaútočit na tvoje město!"
display_event.enemy_go_to_attack_village,{faction} posílá vojsko vyrabovat tvou vesnici!
display_event.enemy_go_to_attack_town,{faction} posílá vojsko vyplenit tvoje město!
display_event.bandits_go_to_attack_village,Lesní zbojníci vyrazili do tvé vesnice!
display_event.bandits_go_to_attack_town,Lesní zbojníci míří k tvému městu!
display_event.bandits_looted_village,Lesní zbojníci okradli tvou vesnici!
display_event.enemy_looted_village,Frakce {faction} okradla tvou vesnici!
display_event.heir_rebellion,Ze vzpoury povstává nový dědic!
display_event.new_heir,Novým dědicem koruny je {name}
display_event.free_lord_was_hired,Svobodný lord {name} byl najat na {duration} d.
display_event.lord_captured,{name} z frakce {faction_name} je nyní v zajetí frakce {faction_name_2}
display_event.captive_terror,{king_name} se dozvěděl o tvé interakci s vězněm {captive_name}. Jeho vztah k tobě se zhoršil.
display_event.looted_books,Ukradené knihy:
display_event.character_part_of_nature_add,{name} získává povahový rys {trait_name}
display_event.character_part_of_nature_delete,{name} ztrácí povahový rys {trait_name}
display_event.character_revail_skill_trait,{name} dosahuje dokonalosti ve schopnosti {skill_name} a odemyká si rys schopnosti {trait_name}
display_event.dark_order,Tvoji hrdlořezové byli podplaceni
display_event.student_as_teacher,{student} dosahuje úrovně {teacher} v rámci schopnosti {skill}
display_event.student_as_teacher_general,{student} dosahuje úrovně {teacher} ve všech schopnostech
display_event.murder_intention_add,{name} osnuje vraždu
display_event.bishop_is_king_enemy,Král se stal nepřítelem biskupa
display_event.kid_need_lesson,{name}: neučí se
display_event.lord_dead_in_travell,{name}: umírá na cestě
display_event.other_faction_king_dead,Vládce frakce {faction} zemřel
display_event.soldier_for_rises,Vojáci čekají na povýšení
display_event.persons_forest_bandits,Lesní zbojníci na tvém území
display_event.religious_punishment_soon,Brzo dorazí inkvizice
display_event.ceremony_start,Začíná obřad: {name}
display_event.ceremony_today,Dnes se bude konat obřad {name}.
display_event.guest_duel,{name}: Vyzývá lorda {lord} na souboj
display_event.lord_seduced,{name} byl sveden. Jeho věrnost je v ohrožení.
display_event.lord_bribed,Postava {name} byla podplacena. Její věrnost je v ohrožení.
display_event.adopted_child_lord,{mother} zemřela při porodu a {king} se rozhodl adoptovat dítě do rodiny
display_event.drunk_fight_start,{name}: začal opileckou rvačku
display_event.nectar_rage_begin,{name}: v nektarovém běsnění!
display_event.new_matriarch,Nová matriarcha
display_event.synod_relations_begin,Začátek vztahu s Milující rodinou
display_event.discovered_talent,{name}: Objevuje během výcviku nový talent!
display_event.inspired_today,{names}: Inspirace!
display_event.terror_culture,Lidé lorda {name} trpí kulturním terorem.
display_event.culture_migration_increase,{name}: Následky války
display_event.character_assimilated,{name}: mění pod vlivem svou kulturu.
display_event.death_is_near,{name}: Umírá
display_event.death_is_near_king,{name}: Monarcha umírá
display_event.death_is_near_king_heirs_power_struggle,{name}: Monarcha umírá. Mezi dědici se rozhořel boj o trůn!
family.brother_sister_f,Sestra
family.brother_sister_m,Bratr
family.child_f,Dcera
family.child_m,Syn
family.ex_paramour_f,Bývalá milenka
family.ex_paramour_m,Bývalý milenec
family.ex_spouce_f,Bývalá choť
family.ex_spouce_m,Bývalý choť
family.nephew_niece_f,Neteř
family.nephew_niece_m,Synovec
family.paramour_f,Milenka
family.paramour_m,Milenec
family.parent_f,Matka
family.parent_m,Otec
family.spouce_f,Choť
family.spouce_m,Choť
family.uncle_aunt_f,Teta
family.uncle_aunt_m,Strýc
menu.appoint.inspection,Inspekce
menu.appoint.preaching,Kázání
menu.appoint.soldiers_training,Výcvik válečníků
menu.appoint.training,Výcvik
appoint.clerk_additional,Z kancléřství
menu.army,Vojsko
menu.army.commander,VELITEL
menu.army.create_army,Vytvořit
menu.army.group.exp_mercenaries,ZKUŠENÍ ŽOLDÁCI
menu.army.group.mercenaries,RYTÍŘI ({count})
menu.army.group.militia,Z ROLNÍKŮ ({count})
menu.army.group.slave,SVOBODNÍ VĚZNI ({count})
menu.army.group.rise,POVÝŠIT
menu.army.hire,Najmout
menu.army.hire_soldier.caption,Najímání jednotek
menu.army.lords,VELITELÉ
menu.army.new_army_button,Vojsko
menu.army.new_army.caption,Nové vojsko
menu.army.new_army.create,Vytvořit
menu.army.new_army.auto,Auto
menu.army.new_army.warriors,VÁLEČNÍCI ({count})
menu.army.new_army.warehouse,NA SKLADĚ
menu.army.new_army.squad_equip,U ČETY
menu.army.new_army.weapon,Zbraně
menu.army.new_army.armor,Zbroje
menu.army.new_army.shield,Štíty
menu.army.patrol,Městská hlídka
menu.army.soldiers,VÁLEČNÍCI
menu.army.without_equip,Bez vybavení
menu.construction.category.army,Vojsko
menu.construction.category.housing,Ubytování
menu.construction.category.production,Výroba
menu.construction.category.resources,Suroviny
menu.construction.category.service,Služby
menu.construction.category.decor,Ozdoba
menu.construction.hint.produce,Vyrábí:
menu.economy,Hospodářství
menu.economy.do_up_to,Dělat do
menu.economy.do_up_to_x,Dělat do X
menu.economy.in_construction,Staví se
menu.economy.make,Vyrobit
menu.economy.make_x,Vyrobit X
menu.economy.order_complete,Cíl byl splněn
menu.economy.required,Požaduje
menu.economy.resources,Suroviny
menu.economy.sell,Množství
menu.economy.sold,Prodáno
menu.economy.used,Zneužití
menu.economy.workshops,Dílny
menu.finance.by_price,Cena za jednotku
menu.finance.caption,Finance
menu.finance.daily,Denní výdaje
menu.finance.daily_jobless,Bez zaměstnání
menu.finance.daily_services,Služby
menu.finance.daily_soldiers,Válečníci
menu.finance.daily_workers,Rolníci
menu.finance.dayly_sales,Prodej za den
menu.finance.food,Jídlo
menu.finance.food_for_slaves,Vězni
menu.finance.market,Místní trh
menu.finance.money,Peníze
menu.finance.salary,Mzdy
menu.finance.sell,Množství
menu.finance.slaves,Vězni
menu.finance.taverns,Krčmy
menu.finance.total,Celkem
menu.finance.goods_availability.title,Bohatství obyvatel
menu.finance.goods_availability.population,Obyvatelé:
menu.finance.goods_availability.slaves,Vězni:
menu.finance.goods_availability.peasants,Obyvatelé
menu.finance.goods_availability.soldiers,Válečníci
menu.finance.goods_availability.food_for_sale,<hint=hint_food>Jídlo</hint> na prodej:
menu.finance.goods_availability.drinks_for_sale,<hint=hint_alcohol>Alkohol</hint> na prodej:
menu.finance.goods_availability.food_for_slaves,Rozdělené <hint=hint_food>jídlo</hint>:
menu.finance.goods_availability.drinks_for_slaves,Rozdělený <hint=hint_alcohol>alkohol</hint>:
menu.finance.goods_availability.savings,Průměrné <hint=hint_wealth>bohatství:</hint>
menu.finance.goods_availability.sale_yesterday,<b>Celkem prodáno včera:</b>
menu.appoint.victory_chance,Šance na vítězství:
menu.production,Výroba
menu.tools.hint.army,Vojsko
menu.tools.hint.clan,Dynastie
menu.tools.hint.construction,Stavba
menu.tools.hint.finance,Finance
menu.tools.hint.statistics,Statistiky
menu.tools.hint.knowledge,Znalosti
menu.tools.hint.production,Výroba
menu.tools.hint.world,Svět
menu.trade,Obchod
menu.trade.deal,Obchod
menu.trade.price_change_reason,{bonus_penalty_side} kvůli rozdílu ve schopnosti {skill_name}
menu.trade.price_change_global_map,Cena některého zboží se zvýšila kvůli událostem na globální mapě
menu.trade.price_change_reason.bonus,ve tvůj prospěch
menu.trade.price_change_reason.penalty,v prospěch obchodníka
menu.family.restrictions,Omezení
menu.family.tree,Rodokmen
menu.family.сhronicles,Kroniky
menu.family.dogmas,Dogmata
menu.battle_squad.is_allow_shoot,Povolit střelbu
menu.battle_squad.stats.on_legs,Na nohou:
menu.battle_squad.stats.moral,Nálada:
menu.battle_squad.stats.equipment,Vybavení:
menu.battle_squad.stats.skill,Bojová schopnost:
menu.battle_squad.hostage,Zajímání rukojmí
menu.battle_squad.surrender,Vzdát se
menu.battle_squad.disband,Rozpustit
menu.battle_squad.header,BOJOVÁ ČETA
menu.battle_squad.loot,KOŘIST
menu.battle_squad.order,ROZKAZ
menu.battle_squad.is_protect_archers,Chránit lučištníky
menu.battle_squad.is_commander_stay_in_back,Zůstat vzadu
name.trader,Obchodník
notification.miscarriage,{name} potratila
notification.actor_use_medicine,{name} používá léčivou mast
notification.character_get_robbed,{name} se stává cílem útoku zlodějů
notification_character.immobilized,{name} se nemůže hýbat
notification.character_close_dead,{name_initiator} -> {name_target}: je kvůli ztrátě k neutěšení
notification.character_crime,{name} čelí obvinění ze zločinu!
notification.character_date,{name_initiator} a {name_target} jdou dnes na rande
notification.character_dead,{name} umírá
notification.character_disease_hard,{name} má vážnou nemoc
notification.character_gift,{name_initiator} -> {name_target}: předání dárku
notification.character_intrigue_full,{name_initiator} -> {name_target}: vztah s postavou {name_third_person} se zhoršil kvůli intrikám.
notification.character_intrigue,{name_target} -> {name_third_person}: vztah se zhoršil kvůli intrikám
notification.character_join_to_player,{name} se přidává k tvé urozené rodině
notification.character_love,{name_initiator} -> {name_target}: zamilovanost
notification.character_low_loyalty,{name}: Nízká věrnost
notification.character_praise,{name_target} -> {name_third_person}: vztah se zlepšil kvůli pochvale
notification.character_skill_new_level,{name} získává novou úroveň! {skill}: {level}
notification.character_slander,{name_target} -> {name_third_person}: vztah se zhoršil kvůli pomluvě
notification.character_unconscious,{name} je v bezvědomí
notification.character_under_attack,{name} vstupuje do bitvy!
notification.character_go_insight,{name} dochází osvícení: {knowledge_name}
notification.characters_start_fight,{name_initiator} a {name_target} začali bojovat!
notification.characters_start_duel,{name_initiator} a {name_target} zahájili souboj!
notification.date_denied,{name_initiator} -> {name_target}: odmítnutí pozvánky na rande.
notification.enemy_commander_dead,Velitel nepřátelské čety byl zabit!
notification.enemy_commander_surrender,Nepřátelský velitel se vzdal!
notification.enemy_commander_retreat,Velitel nepřátelské čety utíká!
notification.enemy_commander_unconscious,Velitel nepřátelské čety je v bezvědomí!
notification.guest_bribe_fail,{name}: host odmítl přijmout dar od tvého krále
notification.guest_bribe_success,{name}: host přijal dar od tvého krále
notification.guest_attempted_bribe_succes,{name}: přijímá dar od osoby {iniciator}. Věrnost se snížila
notification.character_start_action_task,{name} začíná vykonávat úkol: {action_task}
notification.guest_leaving,{name}: host odchází z osady
notification.guest_leaving_danger_wound,{name}: host odchází z osady kvůli nebezpečnému zranění
notification.guest_leaving_bad_mood,{name}: host odchází z osady kvůli depresi
notification.guest_arrive,{name}: host přichází do osady
notification.murder_fighting,{name_initiator} zuří a bojuje na život a na smrt!
notification.murder_night_murder,{name_initiator} osnuje atentát
notification.murder_poison_success,{name_target} je obětí otravy
notification.character_game_of_dice_win,{name_winner} -> {name_looser}: vyhrává v kostkách zlato
