Key,PortugueseBrazilian
display_event.reg_riot_cancel,Os fanáticos estão satisfeitos com a execução de {target_name}. Não haverá nenhuma rebelião.
display_event.holy_family_become_enemy,Você caiu em desgraça com a Matriarca!
display_event.reg_riot_against_king,Os fanáticos acreditam que {target_name} precisa morrer.
display_event.reg_riot_in_hour,Uma rebelião começará em algumas horas!
display_event.low_loyaled,O nobre está deixando a província.
display_event.bulglary_storage,Vadios roubaram o depósito do salão.
display_event.hall_robbed,Vadios se infiltraram no salão e roubaram ouro.
display_event.library_robbed,Vadios se infiltraram na biblioteca e roubaram livros.
display_event.lord_kidnapped,Vadios sequestraram o seu nobre!
display_event.lord_killed,Facínoras subornados mataram o seu nobre!
display_event.army_returned_from_global_map,O esquadrão voltou.
display_event.hirde_bandits_returned_from_global_map,Os facínoras contratados voltaram com o saque.
display_event.kid_now_can_read,{name} cresceu e passou à adolescência
display_event.bishop_arrived,O bispo chegou ao assentamento.
display_event.bishop_leave_province,O bispo está deixando o assentamento.
display_event.faction_become_enemy,{faction_name} se tornou uma facção inimiga.
display_event.faction_soon_become_enemy,{faction_name} se tornará uma facção inimiga em breve.
display_event.economy_statistics,Relatório econômico
display_event.dayly_statistic,Estatísticas diárias
display_event.daily_stat_main_pronlems,Pensamentos negativos frequentes
display_event.daily_stat_no_problems,Sem problemas
display_event.world_summary,Resumo do mundo
display_event.world_summary_trade,Comerciar
display_event.world_summary_marriage,Casamento
display_event.world_summary_other,Outros
display_event.world_summary_politic,Política
display_event.religious_rebellion_start,Uma revolta religiosa começou!
display_event.slaves_rebellion,Uma revolta de prisioneiros começou!
display_event.soldier_rebellion,A revolta dos guerreiros começou!
display_event.loyalist_rage,Os lealistas estão iniciando um massacre!
display_event.loyalist_rage_over,Os lealistas terminaram o massacre.
display_event.soldier_rebellion_finished,A revolta dos guerreiros terminou.
display_event.soldier_rebellion_crushed,A revolta dos guerreiros foi reprimida com sucesso!
display_event.religion_rebellion_crushed,A insurreição religiosa foi repreendida com sucesso!
display_event.religion_rebellion_finished,A insurreição religiosa terminou.
display_event.slaves_rebellion_finished,A rebelião de prisioneiros terminou.
display_event.slaves_rebellion_crushed,A rebelião de prisioneiros foi repreendida com sucesso!
display_event.culture_rage_today,{name}: Provavelmente se rebelará contra {name_2}
display_event.culture_rage,{name}: começou uma revolta.
display_event.culture_rage_over,A revolta terminou.
display_event.no_new_events,Sem eventos.
display_event.player_became_vassal,Você se tornou vassalo de {sir_faction}.
display_event.player_stopped_being_vassal,Você não é mais vassalo de {ex_sir_faction}.
display_event.enemy_go_to_attack_town_soon,Parece que {faction} está prestes a atacar a sua cidade!
display_event.enemy_go_to_attack_village,{faction} enviou um exército para saquear a sua vila!
display_event.enemy_go_to_attack_town,{faction} enviou um exército para saquear a sua cidade!
display_event.bandits_go_to_attack_village,Bandidos da floresta estão a caminho da sua vila!
display_event.bandits_go_to_attack_town,Bandidos da floresta estão indo atacar a sua cidade!
display_event.bandits_looted_village,Bandidos da floresta saquearam a sua vila!
display_event.enemy_looted_village,{faction} saqueou a sua vila!
display_event.heir_rebellion,O herdeiro está se rebelando!
display_event.new_heir,A pessoa que herdará o trono se chama {name}
display_event.free_lord_was_hired,"{name}, um nobre livre, foi contratado por {duration} dias"
display_event.lord_captured,{faction_name_2} capturou {name} de {faction_name}
display_event.captive_terror,{king_name} soube da sua interação com {captive_name}. A atitude dele para com você piorou.
display_event.looted_books,Livros roubados:
display_event.character_part_of_nature_add,{name} ganhou o traço de personalidade {trait_name}
display_event.character_part_of_nature_delete,{name} perdeu o traço de personalidade {trait_name}
display_event.character_revail_skill_trait,"{name} aperfeiçoou a habilidade de {skill_name} e desbloqueou {trait_name}, um novo traço de habilidade."
display_event.dark_order,Os seus facínoras foram subornados
display_event.student_as_teacher,{student} alcançou o nível de {teacher} na habilidade de {skill}
display_event.student_as_teacher_general,{student} alcançou o nível de {teacher} em todas as habilidades
display_event.murder_intention_add,{name} está planejando um assassinato
display_event.bishop_is_king_enemy,O rei virou inimigo do bispo
display_event.kid_need_lesson,{name}: não está aprendendo
display_event.lord_dead_in_travell,{name}: morreu durante a viagem
display_event.other_faction_king_dead,O governante de {faction} morreu
display_event.soldier_for_rises,Há soldados a serem promovidos
display_event.persons_forest_bandits,Há bandidos da floresta em suas terras
display_event.religious_punishment_soon,A inquisição chegará em breve
display_event.ceremony_start,A cerimônia começa: {name}
display_event.ceremony_today,A cerimônia de {name} acontecerá hoje.
display_event.guest_duel,{name}: Desafiou {lord} para um duelo
display_event.lord_seduced,{name} foi seduzido. A lealdade dele está sob ameaça.
display_event.lord_bribed,{name} foi subornado. Sua lealdade está ameaçada.
display_event.adopted_child_lord,{mother} morreu durante o parto e {king} decidiu adotar a criança como parte da família
display_event.drunk_fight_start,{name}: começou uma briga de bêbados
display_event.nectar_rage_begin,{name}: está em fúria de néctar!
display_event.new_matriarch,Nova Matriarca
display_event.synod_relations_begin,Começo da relação com a Família Amorosa
display_event.discovered_talent,{name}: Descobriu um talento novo durante o treinamento!
display_event.inspired_today,{names}: Inspiração!
display_event.terror_culture,O povo de {name} está sofrendo terror cultural.
display_event.culture_migration_increase,{name}: Consequências da guerra
display_event.character_assimilated,{name}: mudou de cultura sob influência.
display_event.death_is_near,{name}: Morrendo
display_event.death_is_near_king,{name}: Monarca está morrendo
display_event.death_is_near_king_heirs_power_struggle,{name}: O monarca está morrendo. A luta pelo trono entre os herdeiros tem início!
family.brother_sister_f,Irmã
family.brother_sister_m,Irmão
family.child_f,Filha
family.child_m,Filho
family.ex_paramour_f,Ex-amante
family.ex_paramour_m,Ex-amante
family.ex_spouce_f,Ex-cônjuge
family.ex_spouce_m,Ex-cônjuge
family.nephew_niece_f,Sobrinha
family.nephew_niece_m,Sobrinho
family.paramour_f,Amante
family.paramour_m,Amante
family.parent_f,Mãe
family.parent_m,Pai
family.spouce_f,Cônjuge
family.spouce_m,Cônjuge
family.uncle_aunt_f,Tia
family.uncle_aunt_m,Tio
menu.appoint.inspection,Inspeção
menu.appoint.preaching,Sermão
menu.appoint.soldiers_training,Treinamento de guerreiro
menu.appoint.training,Treinamento
appoint.clerk_additional,Da chancelaria
menu.army,Exército
menu.army.commander,COMANDANTE
menu.army.create_army,Criar
menu.army.group.exp_mercenaries,MERCENÁRIOS EXPERIENTES
menu.army.group.mercenaries,CAVALEIROS ({count})
menu.army.group.militia,DE CAMPONESES ({count})
menu.army.group.slave,PRISIONEIROS LIVRES ({count})
menu.army.group.rise,PROMOVER
menu.army.hire,Contratar
menu.army.hire_soldier.caption,Contratando tropas
menu.army.lords,COMANDANTES
menu.army.new_army_button,Exército
menu.army.new_army.caption,Exército novo
menu.army.new_army.create,Criar
menu.army.new_army.auto,Automático
menu.army.new_army.warriors,GUERREIROS ({count})
menu.army.new_army.warehouse,EM ESTOQUE
menu.army.new_army.squad_equip,NO ESQUADRÃO
menu.army.new_army.weapon,Armas
menu.army.new_army.armor,Armaduras
menu.army.new_army.shield,Escudos
menu.army.patrol,Patrulha da cidade
menu.army.soldiers,GUERREIROS
menu.army.without_equip,Sem equipamento
menu.construction.category.army,Exército
menu.construction.category.housing,Casa
menu.construction.category.production,Produção
menu.construction.category.resources,Recursos
menu.construction.category.service,Serviço
menu.construction.category.decor,Decoração
menu.construction.hint.produce,Produz:
menu.economy,Economia
menu.economy.do_up_to,Produzir até
menu.economy.do_up_to_x,Produzir até X
menu.economy.in_construction,Em construção
menu.economy.make,Produzir
menu.economy.make_x,Produzir X
menu.economy.order_complete,O objetivo foi alcançado
menu.economy.required,Necessário
menu.economy.resources,Recursos
menu.economy.sell,Quantidade
menu.economy.sold,Vendido
menu.economy.used,Usado
menu.economy.workshops,Oficinas
menu.finance.by_price,Preço por unidade
menu.finance.caption,Finanças
menu.finance.daily,Gastos diários
menu.finance.daily_jobless,Desempregado
menu.finance.daily_services,Serviço
menu.finance.daily_soldiers,Guerreiros
menu.finance.daily_workers,Camponeses
menu.finance.dayly_sales,Vendas por dia
menu.finance.food,Fome
menu.finance.food_for_slaves,Prisioneiros
menu.finance.market,Mercado local
menu.finance.money,Dinheiro
menu.finance.salary,Salários
menu.finance.sell,Quantidade
menu.finance.slaves,Prisioneiros
menu.finance.taverns,Tavernas
menu.finance.total,Total
menu.finance.goods_availability.title,Riqueza dos moradores
menu.finance.goods_availability.population,Moradores:
menu.finance.goods_availability.slaves,Prisioneiros:
menu.finance.goods_availability.peasants,Habitantes
menu.finance.goods_availability.soldiers,Guerreiros
menu.finance.goods_availability.food_for_sale,<hint=hint_food>Comida</hint> à venda:
menu.finance.goods_availability.drinks_for_sale,<hint=hint_alcohol>Bebida</hint> à venda:
menu.finance.goods_availability.food_for_slaves,<hint=hint_food>Comida</hint> distribuída:
menu.finance.goods_availability.drinks_for_slaves,<hint=hint_alcohol>Bebida</hint> distribuída:
menu.finance.goods_availability.savings,Média de <hint=hint_wealth>Riqueza</hint>:
menu.finance.goods_availability.sale_yesterday,<b>Total de vendas ontem:</b>
menu.appoint.victory_chance,Chance de vitória:
menu.production,Produção
menu.tools.hint.army,Exército
menu.tools.hint.clan,Dinastia
menu.tools.hint.construction,Construção
menu.tools.hint.finance,Finanças
menu.tools.hint.statistics,Estatísticas
menu.tools.hint.knowledge,Conhecimento
menu.tools.hint.production,Produção
menu.tools.hint.world,Mundo
menu.trade,Comerciar
menu.trade.deal,Comerciar
menu.trade.price_change_reason,{bonus_penalty_side} devido à diferença na habilidade de {skill_name}
menu.trade.price_change_global_map,O preço de alguns produtos subiu devido a eventos no mapa global
menu.trade.price_change_reason.bonus,a seu favor
menu.trade.price_change_reason.penalty,em favor do comerciante
menu.family.restrictions,Restrições
menu.family.tree,Árvore genealógica
menu.family.сhronicles,Crônicas
menu.family.dogmas,Dogmas
menu.battle_squad.is_allow_shoot,Autorizar tiros
menu.battle_squad.stats.on_legs,Participantes:
menu.battle_squad.stats.moral,Humor:
menu.battle_squad.stats.equipment,Equipamento:
menu.battle_squad.stats.skill,Habilidade de combate:
menu.battle_squad.hostage,Capturando reféns
menu.battle_squad.surrender,Render-se
menu.battle_squad.disband,Dissolver
menu.battle_squad.header,ESQUADRÃO DE BATALHA
menu.battle_squad.loot,SAQUEAR
menu.battle_squad.order,ORDENAR
menu.battle_squad.is_protect_archers,Proteger os arqueiros
menu.battle_squad.is_commander_stay_in_back,Ficar na retaguarda
name.trader,Comerciante
notification.miscarriage,{name} teve um aborto.
notification.actor_use_medicine,{name} usou unguento medicinal
notification.character_get_robbed,Assaltantes atacaram {name}
notification_character.immobilized,{name} não pode se mover
notification.character_close_dead,{name_initiator} -> {name_target}: encontra-se em luto inconsolável pela perda
notification.character_crime,Acusaram {name} de um crime!
notification.character_date,{name_initiator} e {name_target} têm um encontro hoje
notification.character_dead,{name} morreu
notification.character_disease_hard,{name} tem uma doença grave
notification.character_gift,{name_initiator} -> {name_target}: deu um presente
notification.character_intrigue_full,{name_initiator} -> {name_target}: a relação com {name_third_person} piorou como resultado da intriga.
notification.character_intrigue,{name_target} -> {name_third_person}: relação enfraquecida devido a intrigas
notification.character_join_to_player,{name} se juntou à sua família nobre
notification.character_love,{name_initiator} -> {name_target}: se apaixonou
notification.character_low_loyalty,{name}: Lealdade baixa
notification.character_praise,{name_target} -> {name_third_person}: relação fortalecida devido a um elogio.
notification.character_skill_new_level,{name} mudou de nível! {skill}: {level}
notification.character_slander,{name_target} -> {name_third_person}: relação piorada por causa de calúnia
notification.character_unconscious,{name} está inconsciente
notification.character_under_attack,{name} se juntou à batalha!
notification.character_go_insight,{name} teve uma epifania: {knowledge_name}
notification.characters_start_fight,{name_initiator} e {name_target} começaram uma briga!
notification.characters_start_duel,{name_initiator} e {name_target} iniciaram um duelo!
notification.date_denied,{name_initiator} -> {name_target}: recusou o pedido de encontro.
notification.enemy_commander_dead,O comandante do esquadrão inimigo foi morto!
